Image,Contrast,ASM,IDM,Entropy,Correlation
ceplok1.jpg,185.26339693286147,0.004761261896227487,0.005368741344067989,8.343782886149969,0.9742384623593137
ceplok2.jpg,311.0725873697118,0.0005769587400495267,0.0032043826996419325,9.034162011968398,0.9498705343972744
ceplok3.jpg,1065.8225020795444,0.00022999999017476525,0.0009373630552886839,9.535634272268972,0.9273320919673773
ceplok4.jpg,1343.2581023004245,0.0001007903549356555,0.0007439047592785219,9.798097925576911,0.8696900869336519
ceplok5.jpg,760.9074968688496,0.00013151918647391088,0.001312495288613933,9.545180227529572,0.9374506028984629
ceplok6.jpg,59.229813425057316,0.00227530112566554,0.016603073181428313,7.1361602728398745,0.9924843558617518
ceplok7.jpg,952.073034305542,0.00022106094558325325,0.0010492375337517038,9.267245043856255,0.9331726499607376
gray_ceplok1.jpg,1098.1364430147057,0.003632043752703288,0.0009098051532685107,8.992921203132273,0.8451466970181836
gray_ceplok2.jpg,1381.6701899509803,0.0001860867111282319,0.0007232382727767153,9.588507461049298,0.7699276836080668
gray_ceplok3.jpg,3037.244761029412,0.0001464336883650519,0.000329137406184873,9.802388018024903,0.7838381111144752
gray_ceplok4.jpg,1713.4657322303924,9.335738977346452e-05,0.0005832720836590151,9.82479732101889,0.817441657501198
gray_ceplok5.jpg,868.8715379901961,0.0001406104745245218,0.0011495950336649254,9.529799287380413,0.9254407419102616
gray_ceplok6.jpg,939.3644761029411,0.0009543619885530805,0.0010634174571802206,8.021686718880991,0.8804813700981268
gray_ceplok7.jpg,3098.3283854166675,0.00014355323260584877,0.00032265054735900855,9.592166576796435,0.7727051357033886
gray_kawung1.jpg,2609.5421568627453,0.00048328662184466325,0.00038306219164901885,8.768790806464429,0.7472208592380939
gray_kawung2.jpg,2582.525,0.012203070769993812,0.00038706805624098855,6.706215987438476,0.848538625618677
gray_kawung3.jpg,1210.276393995098,0.0002622940667726956,0.0008255754053802249,9.297423832277056,0.8883669809561355
gray_kawung4.jpg,2836.6502450980392,0.0001430570433021554,0.0003524042477495145,9.602056361370785,0.7864333674385824
gray_kawung5.jpg,1291.116436887255,0.0002194879129271194,0.000773924060906638,9.201585921075736,0.9146636757560808
gray_kawung6.jpg,1793.8770833333335,5.3209937659193594e-05,0.0005571412155660612,10.063985878990765,0.709714951133494
gray_kawung7.jpg,8303.906724877452,0.004781841555268706,0.00012041074428981695,8.091596567585908,0.6382616085730028
kawung1.jpg,313.97367087400255,0.0010281578418938528,0.0031748685444886768,8.232162844865305,0.9702748264776327
kawung2.jpg,237.57596856237492,0.06745874505575361,0.0041915370019279755,5.37281550364737,0.9862223352704741
kawung3.jpg,969.9060459761092,0.0003261004896073054,0.0010299657769610867,9.170419870022195,0.9161951906817288
kawung4.jpg,429.4435087216955,0.0003230421126255587,0.002323185225791273,8.949222628854475,0.9683519499068516
kawung5.jpg,1327.4958193979935,0.00026733618440758183,0.0007527310100630568,9.220159112411173,0.9166445946117097
kawung6.jpg,1519.0143200528473,3.506227986436458e-05,0.000657888538816682,10.397641050040624,0.812920062901176
kawung7.jpg,1242.8367101514468,0.038876277044724766,0.0008039640507782104,6.542588596464656,0.9479031695617266
normalized_ceplok1.jpg,1098.0961090686276,0.0029950344227956203,0.0009098385407327104,9.010658747588678,0.8450395296159205
normalized_ceplok2.jpg,1381.2764246323527,0.00015236719256866348,0.0007234442996927856,9.596319642090293,0.7698398215162975
normalized_ceplok3.jpg,3028.7903799019605,0.0001486413729094579,0.0003300558370748931,9.788638386806529,0.7841445255993313
normalized_ceplok4.jpg,1711.4729932598038,9.382401187343812e-05,0.0005839508149535456,9.819989243164912,0.8174925856940352
normalized_ceplok5.jpg,868.6962469362746,0.00014073097261269702,0.0011498267395343529,9.52811707481823,0.9254434262358855
normalized_ceplok6.jpg,938.7292585784314,0.0009552376236378437,0.0010641362827339682,8.01977462687491,0.8805218582201827
normalized_ceplok7.jpg,3098.0462469362747,0.0001435914822424068,0.0003226799216012354,9.592073082250604,0.7727199287543677
normalized_kawung1.jpg,2545.188924632353,0.0004848582595185746,0.00039274383386314946,8.748478601254087,0.7503118166897079
normalized_kawung2.jpg,2530.07987132353,0.008785076207355648,0.00039508828280361173,6.90565583174474,0.8500187466000472
normalized_kawung3.jpg,1207.7845281862744,0.00027505067255532723,0.000827277299371505,9.283213254889445,0.8884702888619558
normalized_kawung4.jpg,2836.5503370098045,0.00014308508521361976,0.0003524166556473478,9.602419890096801,0.786439545711667
normalized_kawung5.jpg,1286.5996017156863,0.00022797229243259805,0.0007766389479054911,9.184846139011789,0.914708438071997
normalized_kawung6.jpg,1789.8788143382358,5.322460393087997e-05,0.0005583850744080187,10.060753434015808,0.7100457997561498
normalized_kawung7.jpg,7803.928936887254,0.0011351605114319012,0.00012812416462549086,8.827185011312512,0.6433813642122234
resized_ceplok1.jpg,1098.0961090686276,0.0029950344227956203,0.0009098385407327104,9.010658747588678,0.8450395296159205
resized_ceplok2.jpg,1381.2764246323527,0.00015236719256866348,0.0007234442996927856,9.596319642090293,0.7698398215162975
resized_ceplok3.jpg,3028.7903799019605,0.0001486413729094579,0.0003300558370748931,9.788638386806529,0.7841445255993313
resized_ceplok4.jpg,1711.4729932598038,9.382401187343812e-05,0.0005839508149535456,9.819989243164912,0.8174925856940352
resized_ceplok5.jpg,868.6962469362746,0.00014073097261269702,0.0011498267395343529,9.52811707481823,0.9254434262358855
resized_ceplok6.jpg,938.7292585784314,0.0009552376236378437,0.0010641362827339682,8.01977462687491,0.8805218582201827
resized_ceplok7.jpg,3098.0462469362747,0.0001435914822424068,0.0003226799216012354,9.592073082250604,0.7727199287543677
resized_kawung1.jpg,2545.188924632353,0.0004848582595185746,0.00039274383386314946,8.748478601254087,0.7503118166897079
resized_kawung2.jpg,2530.07987132353,0.008785076207355648,0.00039508828280361173,6.90565583174474,0.8500187466000472
resized_kawung3.jpg,1207.7845281862744,0.00027505067255532723,0.000827277299371505,9.283213254889445,0.8884702888619558
resized_kawung4.jpg,2836.5503370098045,0.00014308508521361976,0.0003524166556473478,9.602419890096801,0.786439545711667
resized_kawung5.jpg,1286.5996017156863,0.00022797229243259805,0.0007766389479054911,9.184846139011789,0.914708438071997
resized_kawung6.jpg,1789.8788143382358,5.322460393087997e-05,0.0005583850744080187,10.060753434015808,0.7100457997561498
resized_kawung7.jpg,7803.928936887254,0.0011351605114319012,0.00012812416462549086,8.827185011312512,0.6433813642122234
